code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",0.3333333322222222,0.3333333322222222,0.33333332722222225,1,2,2,3,16.0
02H633Z,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach",0.7735849056238875,0.4969696969546373,0.6051660468751788,164,48,166,330,1477.0
02H63JZ,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Approach",0.7815126049763436,0.9789473683180056,0.8691588734863308,93,26,2,95,427.0
02H63KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach",0.4242424241138659,0.6999999996499999,0.5283018818939124,14,19,6,20,76.0
02HA0QZ,"Insertion of Implantable Heart Assist System into Heart, Open Approach",0.9999999985714286,0.8749999989062499,0.933333327111111,7,0,1,8,24.0
02HA3RJ,"Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Approach",0.0,0.0,0.0,0,1,3,3,12.0
02HA3RZ,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach",0.6521739127599243,0.9999999993333333,0.7894736790166205,15,8,0,15,76.0
02HK3JZ,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach",0.8403361343831651,0.9259259258401921,0.8810572636565819,100,19,8,108,495.0
02HK3KZ,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Approach",0.673913043331758,0.8857142854612244,0.7654320936686481,31,15,4,35,136.0
02HK3NZ,"Insertion of Intracardiac Pacemaker into Right Ventricle, Percutaneous Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,8.0
02HL3JZ,"Insertion of Pacemaker Lead into Left Ventricle, Percutaneous Approach",0.0,0.0,0.0,0,2,6,6,30.0
02HL3KZ,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Approach",0.12499999984374999,0.249999999375,0.16666666194444454,1,7,3,4,19.0
02HN0KZ,"Insertion of Defibrillator Lead into Pericardium, Open Approach",0.1999999996,0.4999999975,0.28571428081632655,1,4,1,2,10.0
02HP32Z,"Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Approach",0.3999999992,0.051282051268902035,0.09090908885330583,2,3,37,39,165.0
02HQ32Z,"Insertion of Monitoring Device into Right Pulmonary Artery, Percutaneous Approach",0.29411764688581316,0.13157894733379502,0.18181817748099185,5,12,33,38,167.0
02HQ33Z,"Insertion of Infusion Device into Right Pulmonary Artery, Percutaneous Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,9.0
02HR33Z,"Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,10.0
02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",0.6020997375296478,0.7296437658986664,0.6597641595517014,1147,758,425,1572,6904.0
02JA3ZZ,"Inspection of Heart, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,8.0
02K83ZZ,"Map Conduction Mechanism, Percutaneous Approach",0.5964912279655279,0.9444444441820987,0.731182790796624,34,23,2,36,154.0
02L70CK,"Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach",0.7999999994666667,0.7999999994666667,0.7999999944666668,12,3,3,15,77.0
02L70ZK,"Occlusion of Left Atrial Appendage, Open Approach",0.48484848470156106,0.8421052627146814,0.6153846105103551,16,17,3,19,74.0
02L73DK,"Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,11.0
02PA0MZ,"Removal of Cardiac Lead from Heart, Open Approach",0.9999999900000002,0.249999999375,0.3999999952,1,0,3,4,12.0
02PA0RZ,"Removal of Short-term External Heart Assist System from Heart, Open Approach",0.0,0.0,0.0,0,0,1,1,8.0
02PA33Z,"Removal of Infusion Device from Heart, Percutaneous Approach",0.0,0.0,0.0,0,0,5,5,14.0
02PA3MZ,"Removal of Cardiac Lead from Heart, Percutaneous Approach",0.5151515149954086,0.8499999995749999,0.6415094290210039,17,16,3,20,97.0
02PA3RZ,"Removal of Short-term External Heart Assist System from Heart, Percutaneous Approach",0.3888888886728395,0.8749999989062499,0.5384615337869822,7,11,1,8,42.0
02PAX3Z,"Removal of Infusion Device from Heart, External Approach",0.0,0.0,0.0,0,0,10,10,48.0
02PY33Z,"Removal of Infusion Device from Great Vessel, Percutaneous Approach",0.0,0.0,0.0,0,0,12,12,62.0
02PYX3Z,"Removal of Infusion Device from Great Vessel, External Approach",0.0,0.0,0.0,0,0,18,18,88.0
02Q50ZZ,"Repair Atrial Septum, Open Approach",0.6923076917751478,0.9999999988888888,0.8181818126033058,9,4,0,9,46.0
02QF0ZZ,"Repair Aortic Valve, Open Approach",0.9999999900000002,0.3333333322222222,0.49999999375000004,1,0,2,3,14.0
02QG0ZZ,"Repair Mitral Valve, Open Approach",0.0,0.0,0.0,0,2,5,5,26.0
02QK0ZZ,"Repair Right Ventricle, Open Approach",0.0,0.0,0.0,0,1,2,2,9.0
02RF08Z,"Replacement of Aortic Valve with Zooplastic Tissue, Open Approach",0.9328358208259078,0.9842519684264369,0.9578544010604659,125,9,2,127,553.0
02RF0JZ,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach",0.8965517238287752,0.8666666663777778,0.8813559269060615,26,3,4,30,146.0
02RF0KZ,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach",0.0,0.0,0.0,0,0,4,4,20.0
02RF38Z,"Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Approach",0.8252427183664813,0.9550561796679713,0.8854166616010201,85,18,4,89,354.0
02RF3JZ,"Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,9.0
02RG08Z,"Replacement of Mitral Valve with Zooplastic Tissue, Open Approach",0.8124999997460938,0.8965517238287752,0.8524590111260415,26,6,3,29,123.0
02RG0JZ,"Replacement of Mitral Valve with Synthetic Substitute, Open Approach",0.9999999989999999,0.9999999989999999,0.999999994,10,0,0,10,46.0
02RG38Z,"Replacement of Mitral Valve with Zooplastic Tissue, Percutaneous Approach",0.7499999981250001,0.9999999966666667,0.8571428497959185,3,1,0,3,18.0
02RJ08Z,"Replacement of Tricuspid Valve with Zooplastic Tissue, Open Approach",0.9999999966666667,0.9999999966666667,0.9999999916666666,3,0,0,3,11.0
02RW0JZ,"Replacement of Thoracic Aorta, Descending with Synthetic Substitute, Open Approach",0.24999999979166665,0.29999999969999996,0.2727272675206612,3,9,7,10,49.0
02RX08Z,"Replacement of Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach",0.0,0.0,0.0,0,0,1,1,8.0
02RX0JZ,"Replacement of Thoracic Aorta, Ascending/Arch with Synthetic Substitute, Open Approach",0.6666666664444444,0.8333333329861111,0.7407407355281208,20,10,4,24,122.0
02U508Z,"Supplement Atrial Septum with Zooplastic Tissue, Open Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,9.0
02U53JZ,"Supplement Atrial Septum with Synthetic Substitute, Percutaneous Approach",0.33333333277777777,0.999999995,0.49999999500000003,2,4,0,2,12.0
02UG08Z,"Supplement Mitral Valve with Zooplastic Tissue, Open Approach",0.0,0.0,0.0,0,0,1,1,8.0
02UG0JZ,"Supplement Mitral Valve with Synthetic Substitute, Open Approach",0.9622641507618369,0.9999999998039215,0.9807692255824705,51,2,0,51,249.0
02UG3JZ,"Supplement Mitral Valve with Synthetic Substitute, Percutaneous Approach",0.6666666663888888,0.999999999375,0.7999999948000001,16,8,0,16,82.0
02UJ0JZ,"Supplement Tricuspid Valve with Synthetic Substitute, Open Approach",0.9166666662847222,0.9565217387145557,0.9361702073698506,22,2,1,23,94.0
02UN08Z,"Supplement Pericardium with Zooplastic Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
02UX08Z,"Supplement Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach",0.7499999981250001,0.5999999988,0.6666666602469137,3,1,2,5,25.0
02VW3DZ,"Restriction of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Approach",0.4999999997222222,0.8181818174380164,0.6206896500356718,9,9,2,11,50.0
02VX3DZ,"Restriction of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,11.0
02WA3MZ,"Revision of Cardiac Lead in Heart, Percutaneous Approach",0.7499999981250001,0.7499999981250001,0.7499999931250001,3,1,1,4,18.0
02WY33Z,"Revision of Infusion Device in Great Vessel, Percutaneous Approach",0.0,0.0,0.0,0,0,3,3,17.0
02WYX3Z,"Revision of Infusion Device in Great Vessel, External Approach",0.0,0.0,0.0,0,0,2,2,11.0
03180ZD,"Bypass Left Brachial Artery to Upper Arm Vein, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
